case_key,material_key,material_title,condition_key,condition_label,protocol_path,setting_index,setting_label,candidate_index,base_fwhm,eta,peak_asymmetry,particle_size,rwp,n_peaks,ranking_score,rank
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,0,"f0.03
e0.3",30,0.03,0.3,0.0,,1.1106695647603453,9,2.010669564760345,1
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,0,"f0.03
e0.3",64,0.03,0.3,0.0,,0.7756606250878021,13,2.075660625087802,2
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,0,"f0.03
e0.3",88,0.03,0.3,0.0,,0.7861323444755537,13,2.086132344475554,3
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,0,"f0.03
e0.3",2,0.03,0.3,0.0,,0.7902391988433473,13,2.0902391988433475,4
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,0,"f0.03
e0.3",63,0.03,0.3,0.0,,0.7913101324086229,13,2.0913101324086227,5
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,0,"f0.03
e0.3",0,0.03,0.3,0.0,,0.7956481642313985,13,2.0956481642313984,6
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,0,"f0.03
e0.3",80,0.03,0.3,0.0,,0.7961911123106341,13,2.0961911123106343,7
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,0,"f0.03
e0.3",21,0.03,0.3,0.0,,0.7983081258486986,13,2.098308125848699,8
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,0,"f0.03
e0.3",75,0.03,0.3,0.0,,0.8059819320901497,13,2.10598193209015,9
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,0,"f0.03
e0.3",89,0.03,0.3,0.0,,0.8065898280423036,13,2.1065898280423037,10
