case_key,material_key,material_title,condition_key,condition_label,protocol_path,setting_label,top1_candidate_index,top1_matches_baseline,top5_overlap_with_baseline,top10_overlap_with_baseline,spearman_vs_baseline
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,"f0.03
e0.3",30,True,5,10,0.9999999999999999
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,"f0.03
e0.5",30,True,5,10,0.9999628942486084
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,"f0.03
e0.7",30,True,5,10,0.9998886827458254
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,"f0.05
e0.3",30,True,3,7,0.9905380333951762
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,"f0.05
e0.5",30,True,3,7,0.9913914656771798
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,"f0.05
e0.7",30,True,3,7,0.9919604205318491
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,"f0.08
e0.3",69,False,2,4,0.9803092145949288
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,"f0.08
e0.5",69,False,2,4,0.9801731601731603
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,"f0.08
e0.7",69,False,2,4,0.9802844774273345
ceo2_crystalline__comp,ceo2_crystalline,Crystalline CeO2,comp,Comp,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8.pkl,"f0.03
e0.3",39,True,5,10,0.9999999999999999
ceo2_crystalline__comp,ceo2_crystalline,Crystalline CeO2,comp,Comp,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8.pkl,"f0.03
e0.5",39,True,5,10,0.9999759975997599
ceo2_crystalline__comp,ceo2_crystalline,Crystalline CeO2,comp,Comp,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8.pkl,"f0.03
e0.7",39,True,5,10,0.9999519951995199
ceo2_crystalline__comp,ceo2_crystalline,Crystalline CeO2,comp,Comp,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8.pkl,"f0.05
e0.3",55,False,5,10,0.9997719771977197
ceo2_crystalline__comp,ceo2_crystalline,Crystalline CeO2,comp,Comp,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8.pkl,"f0.05
e0.5",55,False,5,10,0.9997719771977197
ceo2_crystalline__comp,ceo2_crystalline,Crystalline CeO2,comp,Comp,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8.pkl,"f0.05
e0.7",55,False,5,10,0.9997719771977197
ceo2_crystalline__comp,ceo2_crystalline,Crystalline CeO2,comp,Comp,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8.pkl,"f0.08
e0.3",55,False,5,10,0.9993759375937593
ceo2_crystalline__comp,ceo2_crystalline,Crystalline CeO2,comp,Comp,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8.pkl,"f0.08
e0.5",55,False,5,10,0.9993759375937593
ceo2_crystalline__comp,ceo2_crystalline,Crystalline CeO2,comp,Comp,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8.pkl,"f0.08
e0.7",55,False,5,10,0.9989918991899188
ceo2_crystalline__comp_spg,ceo2_crystalline,Crystalline CeO2,comp_spg,Comp + SG,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8_Fm-3m.pkl,"f0.03
e0.3",88,True,5,10,0.9999999999999999
ceo2_crystalline__comp_spg,ceo2_crystalline,Crystalline CeO2,comp_spg,Comp + SG,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8_Fm-3m.pkl,"f0.03
e0.5",88,True,5,10,0.9999999999999999
ceo2_crystalline__comp_spg,ceo2_crystalline,Crystalline CeO2,comp_spg,Comp + SG,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8_Fm-3m.pkl,"f0.03
e0.7",88,True,5,9,0.99996399639964
ceo2_crystalline__comp_spg,ceo2_crystalline,Crystalline CeO2,comp_spg,Comp + SG,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8_Fm-3m.pkl,"f0.05
e0.3",81,False,5,9,0.9999519951995199
ceo2_crystalline__comp_spg,ceo2_crystalline,Crystalline CeO2,comp_spg,Comp + SG,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8_Fm-3m.pkl,"f0.05
e0.5",81,False,5,9,0.9999159915991598
ceo2_crystalline__comp_spg,ceo2_crystalline,Crystalline CeO2,comp_spg,Comp + SG,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8_Fm-3m.pkl,"f0.05
e0.7",81,False,5,9,0.9998919891989198
ceo2_crystalline__comp_spg,ceo2_crystalline,Crystalline CeO2,comp_spg,Comp + SG,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8_Fm-3m.pkl,"f0.08
e0.3",20,False,5,9,0.9998319831983197
ceo2_crystalline__comp_spg,ceo2_crystalline,Crystalline CeO2,comp_spg,Comp + SG,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8_Fm-3m.pkl,"f0.08
e0.5",20,False,5,9,0.9998319831983197
